brand,model,identification,title,full_title,memory,color,price,discount_price,image,link,category,subcategory
Nokia,216,Blue,Nokia 216,Nokia 216 Blue,,mediumturquoise,99,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-216-min (1).jpg,https://www.w-t.az/mehsul/5f33f183b59fe508cd87f635/nokia-216-blue,Telefon və planşetlər,Mobil telefonlar
Nokia,230,Gray,Nokia 230,Nokia 230 Gray,,gray,169,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-230-black-min (1).jpg,https://www.w-t.az/mehsul/5f33f2d9b59fe508cd87f644/nokia-230-gray,Telefon və planşetlər,Mobil telefonlar
Nokia,230,White,Nokia 230,Nokia 230 White,,gainsboro,169,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-230-white-min (1).jpg,https://www.w-t.az/mehsul/5f33f2d9b59fe508cd87f644/nokia-230-white,Telefon və planşetlər,Mobil telefonlar
Nokia,230,Blue,Nokia 230,Nokia 230 Blue,,midnightblue,169,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-230-blue-min (1).jpg,https://www.w-t.az/mehsul/5f33f2d9b59fe508cd87f644/nokia-230-blue,Telefon və planşetlər,Mobil telefonlar
Nokia,2720 Flip,Black,Nokia 2720 Flip,Nokia 2720 Flip Black,,black,249,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-2720-.jpg,https://www.w-t.az/mehsul/5f33f3ddb59fe508cd87f652/nokia-2720-flip-black,Telefon və planşetlər,Mobil telefonlar
Nokia,2720 Flip,Gray,Nokia 2720 Flip,Nokia 2720 Flip Gray,,silver,249,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-2720-Flip-gray-min.jpg,https://www.w-t.az/mehsul/5f33f3ddb59fe508cd87f652/nokia-2720-flip-gray,Telefon və planşetlər,Mobil telefonlar
Nokia,3310,Gray,Nokia 3310,Nokia 3310 Gray,,gray,159,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/aarararar-min.jpg,https://www.w-t.az/mehsul/5f33f651b59fe508cd87f678/nokia-3310-gray,Telefon və planşetlər,Mobil telefonlar
Nokia,125,Black,Nokia 125,Nokia 125 Black,,black,79,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-125.jpg,https://www.w-t.az/mehsul/5f462fa41f65b16d919d36d4/nokia-125-black,Telefon və planşetlər,Mobil telefonlar
Nokia,125,White,Nokia 125,Nokia 125 White,,silver,79,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-125-white-min.jpg,https://www.w-t.az/mehsul/5f462fa41f65b16d919d36d4/nokia-125-white,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S20 FE (G780),Cloud Mint,Samsung Galaxy S20 FE (G780),Samsung Galaxy S20 FE (G780) Cloud Mint,128GB,powderblue,1299,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/mi11lite5gblue222334456.jpg,https://www.w-t.az/mehsul/5f6c3a0af0f9a06e37e7889f/samsung-galaxy-s20-fe-(g780)-cloud-mint,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S20 FE (G780),Cloud Lavender,Samsung Galaxy S20 FE (G780),Samsung Galaxy S20 FE (G780) Cloud Lavender,128GB,gainsboro,1299,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/s20-fe-light-violet.jpg,https://www.w-t.az/mehsul/5f6c3a0af0f9a06e37e7889f/samsung-galaxy-s20-fe-(g780)-cloud-lavender,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S20 FE (G780),Cloud Red,Samsung Galaxy S20 FE (G780),Samsung Galaxy S20 FE (G780) Cloud Red,128GB,red,1299,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/s20-fe-red.jpg,https://www.w-t.az/mehsul/5f6c3a0af0f9a06e37e7889f/samsung-galaxy-s20-fe-(g780)-cloud-red,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S20 FE (G780),Cloud Blue,Samsung Galaxy S20 FE (G780),Samsung Galaxy S20 FE (G780) Cloud Blue,128GB,midnightblue,1299,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/s20-fe-blue-min.jpg,https://www.w-t.az/mehsul/5f6c3a0af0f9a06e37e7889f/samsung-galaxy-s20-fe-(g780)-cloud-blue,Telefon və planşetlər,Mobil telefonlar
Nokia,5310,Black,Nokia 5310,Nokia 5310 Black,,black,119,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-5310-Black.jpg,https://www.w-t.az/mehsul/5fd071e149b4697520a0b06e/nokia-5310-black,Telefon və planşetlər,Mobil telefonlar
Nokia,5310,White,Nokia 5310,Nokia 5310 White,,whitesmoke,119,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-5310-White.jpg,https://www.w-t.az/mehsul/5fd071e149b4697520a0b06e/nokia-5310-white,Telefon və planşetlər,Mobil telefonlar
Nokia,8000,Black,Nokia 8000,Nokia 8000 Black,,black,229,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-8000.jpg,https://www.w-t.az/mehsul/5fda0c31098b0f2c4a3e559c/nokia-8000-black,Telefon və planşetlər,Mobil telefonlar
Nokia,8000,White,Nokia 8000,Nokia 8000 White,,gainsboro,229,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Nokia-8000-white-min.jpg,https://www.w-t.az/mehsul/5fda0c31098b0f2c4a3e559c/nokia-8000-white,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A12 (A125),32GB Black,Samsung Galaxy A12 (A125),Samsung Galaxy A12 (A125) 32GB Black,32GB,black,339,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/galaxy-a12-black-min.jpg,https://www.w-t.az/mehsul/5fec9a1e77a5807f68a560da/samsung-galaxy-a12-(a125)-32gb-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A12 (A125),32GB Red,Samsung Galaxy A12 (A125),Samsung Galaxy A12 (A125) 32GB Red,32GB,red,339,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/galaxy-a12-red-min.jpg,https://www.w-t.az/mehsul/5fec9a1e77a5807f68a560da/samsung-galaxy-a12-(a125)-32gb-red,Telefon və planşetlər,Mobil telefonlar
Nokia,215,Black,Nokia 215,Nokia 215 Black,,black,99,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-215-black-min.jpg,https://www.w-t.az/mehsul/5ff8006b77a5807f68a5ab82/nokia-215-black,Telefon və planşetlər,Mobil telefonlar
Nokia,215,Green,Nokia 215,Nokia 215 Green,,seagreen,99,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-215-green-min.jpg,https://www.w-t.az/mehsul/5ff8006b77a5807f68a5ab82/nokia-215-green,Telefon və planşetlər,Mobil telefonlar
Nokia,225,Black,Nokia 225,Nokia 225 Black,,black,99,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-225-black-min.jpg,https://www.w-t.az/mehsul/5ff8042377a5807f68a5ac01/nokia-225-black,Telefon və planşetlər,Mobil telefonlar
Nokia,225,Blue,Nokia 225,Nokia 225 Blue,,midnightblue,99,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-225-blue-min.jpg,https://www.w-t.az/mehsul/5ff8042377a5807f68a5ac01/nokia-225-blue,Telefon və planşetlər,Mobil telefonlar
Nokia,225,Gold,Nokia 225,Nokia 225 Gold,,burlywood,99,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/nokia-225-min.jpg,https://www.w-t.az/mehsul/5ff8042377a5807f68a5ac01/nokia-225-gold,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S21 (G991),128GB Phantom Gray,Samsung Galaxy S21 (G991),Samsung Galaxy S21 (G991) 128GB Phantom Gray,128GB,dimgray,2099,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/galaxy-s21-gray-min.jpg,https://www.w-t.az/mehsul/60004a27d30f88221320e102/samsung-galaxy-s21-(g991)-128gb-phantom-gray,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S21 (G991),128GB Phantom Violet,Samsung Galaxy S21 (G991),Samsung Galaxy S21 (G991) 128GB Phantom Violet,128GB,mediumpurple,2099,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/galaxy-s21-violet-min.jpg,https://www.w-t.az/mehsul/60004a27d30f88221320e102/samsung-galaxy-s21-(g991)-128gb-phantom-violet,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S21 Plus (G996),128GB Phantom Black,Samsung Galaxy S21 Plus (G996),Samsung Galaxy S21 Plus (G996) 128GB Phantom Black,128GB,black,2399,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/s21plusblack-min.jpg,https://www.w-t.az/mehsul/60004c48d30f88221320e1d6/samsung-galaxy-s21-plus-(g996)-128gb-phantom-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy S21 Ultra (G998),256GB Phantom Black,Samsung Galaxy S21 Ultra (G998),Samsung Galaxy S21 Ultra (G998) 256GB Phantom Black,256GB,black,2899,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/s21ultrablack-min.jpg,https://www.w-t.az/mehsul/60004d8fd30f88221320e29d/samsung-galaxy-s21-ultra-(g998)-256gb-phantom-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A02s (A025),32GB Black,Samsung Galaxy A02s (A025),Samsung Galaxy A02s (A025) 32GB Black,32GB,black,319,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/galaxy-a02s-black-min.jpg,https://www.w-t.az/mehsul/600ad96068f7bc3de6a52439/samsung-galaxy-a02s-(a025)-32gb-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A02s (A025),32GB White,Samsung Galaxy A02s (A025),Samsung Galaxy A02s (A025) 32GB White,32GB,lightgray,319,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/galaxy-a02s-white-min.jpg,https://www.w-t.az/mehsul/600ad96068f7bc3de6a52439/samsung-galaxy-a02s-(a025)-32gb-white,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A02 (A022),32GB Black,Samsung Galaxy A02 (A022),Samsung Galaxy A02 (A022) 32GB Black,32GB,black,239,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a022-black-min.jpg,https://www.w-t.az/mehsul/60334858d64f18755bcfcca5/samsung-galaxy-a02-(a022)-32gb-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A02 (A022),32GB Blue,Samsung Galaxy A02 (A022),Samsung Galaxy A02 (A022) 32GB Blue,32GB,slateblue,239,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a022-blue-min.jpg,https://www.w-t.az/mehsul/60334858d64f18755bcfcca5/samsung-galaxy-a02-(a022)-32gb-blue,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A02 (A022),32GB Red,Samsung Galaxy A02 (A022),Samsung Galaxy A02 (A022) 32GB Red,32GB,crimson,239,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a022-redcbc-min.jpg,https://www.w-t.az/mehsul/60334858d64f18755bcfcca5/samsung-galaxy-a02-(a022)-32gb-red,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A32 (A325),64GB Awesome Blue,Samsung Galaxy A32 (A325),Samsung Galaxy A32 (A325) 64GB Awesome Blue,64GB,cornflowerblue,549,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a32-awesome-blue-min (1).jpg,https://www.w-t.az/mehsul/605335c4943a444b0497848d/samsung-galaxy-a32-(a325)-64gb-awesome-blue,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A32 (A325),64GB Awesome Violet,Samsung Galaxy A32 (A325),Samsung Galaxy A32 (A325) 64GB Awesome Violet,64GB,plum,549,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a32-awesome-violet-min.jpg,https://www.w-t.az/mehsul/605335c4943a444b0497848d/samsung-galaxy-a32-(a325)-64gb-awesome-violet,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A32 (A325),64GB Awesome Black,Samsung Galaxy A32 (A325),Samsung Galaxy A32 (A325) 64GB Awesome Black,64GB,black,549,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a32-awesome-black-min.jpg,https://www.w-t.az/mehsul/605335c4943a444b0497848d/samsung-galaxy-a32-(a325)-64gb-awesome-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A32 (A325),128GB Awesome Blue,Samsung Galaxy A32 (A325),Samsung Galaxy A32 (A325) 128GB Awesome Blue,128GB,cornflowerblue,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a32-awesome-blue-min (1).jpg,https://www.w-t.az/mehsul/605335c4943a444b0497848d/samsung-galaxy-a32-(a325)-128gb-awesome-blue,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A32 (A325),128GB Awesome Violet,Samsung Galaxy A32 (A325),Samsung Galaxy A32 (A325) 128GB Awesome Violet,128GB,plum,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a32-awesome-violet-min.jpg,https://www.w-t.az/mehsul/605335c4943a444b0497848d/samsung-galaxy-a32-(a325)-128gb-awesome-violet,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A32 (A325),128GB Awesome Black,Samsung Galaxy A32 (A325),Samsung Galaxy A32 (A325) 128GB Awesome Black,128GB,black,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a32-awesome-black-min.jpg,https://www.w-t.az/mehsul/605335c4943a444b0497848d/samsung-galaxy-a32-(a325)-128gb-awesome-black,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 10 Pro (RAM 6GB),128GB Onyx Gray,Xiaomi Redmi Note 10 Pro (RAM 6GB),Xiaomi Redmi Note 10 Pro (RAM 6GB) 128GB Onyx Gray,128GB,dimgray,799,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/note-10-pro-gray-min.jpg,https://www.w-t.az/mehsul/60817f35a6bdf96cdb1b9383/xiaomi-redmi-note-10-pro-(ram-6gb)-128gb-onyx-gray,Telefon və planşetlər,Mobil telefonlar
realme,7,Blue,realme 7,realme 7 Blue,128GB,steelblue,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/realme-7-blue-min.jpg,https://www.w-t.az/mehsul/60ab7dcf379f3238fe9a150a/realme-7-blue,Telefon və planşetlər,Mobil telefonlar
realme,7,Silver,realme 7,realme 7 Silver,128GB,lightsteelblue,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/realme-7-white-min.jpg,https://www.w-t.az/mehsul/60ab7dcf379f3238fe9a150a/realme-7-silver,Telefon və planşetlər,Mobil telefonlar
realme,C11,Green,realme C11,realme C11 Green,32GB,darkseagreen,239,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/c11-min.jpg,https://www.w-t.az/mehsul/60ab7eb0379f3238fe9a1519/realme-c11-green,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 10s (RAM 6GB),128GB Pebble White,Xiaomi Redmi Note 10s (RAM 6GB),Xiaomi Redmi Note 10s (RAM 6GB) 128GB Pebble White,128GB,lavender,649,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/redmi-note-10s-pebble-white-min.jpg,https://www.w-t.az/mehsul/60b4a1a3907c166930fbacdc/xiaomi-redmi-note-10s-(ram-6gb)-128gb-pebble-white,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 10s (RAM 6GB),128GB Ocean Blue,Xiaomi Redmi Note 10s (RAM 6GB),Xiaomi Redmi Note 10s (RAM 6GB) 128GB Ocean Blue,128GB,mediumturquoise,649,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/redmi-note-10s-ocean-blue-min.jpg,https://www.w-t.az/mehsul/60b4a1a3907c166930fbacdc/xiaomi-redmi-note-10s-(ram-6gb)-128gb-ocean-blue,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Redmi Note 10s (RAM 6GB),128GB Onyx Gray,Xiaomi Redmi Note 10s (RAM 6GB),Xiaomi Redmi Note 10s (RAM 6GB) 128GB Onyx Gray,128GB,dimgray,649,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/redmi-note-10s-gray-min.jpg,https://www.w-t.az/mehsul/60b4a1a3907c166930fbacdc/xiaomi-redmi-note-10s-(ram-6gb)-128gb-onyx-gray,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Poco F3,256GB Night Black,Xiaomi Poco F3,Xiaomi Poco F3 256GB Night Black,256GB,black,1149,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/poco-f3-black-min.jpg,https://www.w-t.az/mehsul/60d067d2393b4c2fd16d0cf7/xiaomi-poco-f3-256gb-night-black,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Poco M3 Pro,4/64GB Cool Blue,Xiaomi Poco M3 Pro,Xiaomi Poco M3 Pro 4/64GB Cool Blue,64GB,darkturquoise,549,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/poco-m3-pro-cool-blue.jpg,https://www.w-t.az/mehsul/60d06e83393b4c2fd16d0d4d/xiaomi-poco-m3-pro-464gb-cool-blue,Telefon və planşetlər,Mobil telefonlar
Xiaomi,Poco M3 Pro,4/64GB Power Black,Xiaomi Poco M3 Pro,Xiaomi Poco M3 Pro 4/64GB Power Black,64GB,darkslategray,549,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/poco-m3-pro-power-black-min.jpg,https://www.w-t.az/mehsul/60d06e83393b4c2fd16d0d4d/xiaomi-poco-m3-pro-464gb-power-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A22 (A225),64GB Black,Samsung Galaxy A22 (A225),Samsung Galaxy A22 (A225) 64GB Black,64GB,black,499,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a225-128gb-black-min.jpg,https://www.w-t.az/mehsul/60d4326d393b4c2fd16d23f6/samsung-galaxy-a22-(a225)-64gb-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A22 (A225),64GB White,Samsung Galaxy A22 (A225),Samsung Galaxy A22 (A225) 64GB White,64GB,gainsboro,499,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a22-white-min.jpg,https://www.w-t.az/mehsul/60d4326d393b4c2fd16d23f6/samsung-galaxy-a22-(a225)-64gb-white,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A22 (A225),64GB Green,Samsung Galaxy A22 (A225),Samsung Galaxy A22 (A225) 64GB Green,64GB,gainsboro,499,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a225-green--vnkjd-min.jpg,https://www.w-t.az/mehsul/60d4326d393b4c2fd16d23f6/samsung-galaxy-a22-(a225)-64gb-green,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A22 (A225),128GB Black,Samsung Galaxy A22 (A225),Samsung Galaxy A22 (A225) 128GB Black,128GB,black,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a225-128gb-black-min.jpg,https://www.w-t.az/mehsul/60d4326d393b4c2fd16d23f6/samsung-galaxy-a22-(a225)-128gb-black,Telefon və planşetlər,Mobil telefonlar
Samsung,Galaxy A22 (A225),128GB Green,Samsung Galaxy A22 (A225),Samsung Galaxy A22 (A225) 128GB Green,128GB,gainsboro,599,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/a22-green-min.jpg,https://www.w-t.az/mehsul/60d4326d393b4c2fd16d23f6/samsung-galaxy-a22-(a225)-128gb-green,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E111,,Philips Xenium E111,Philips Xenium E111 ,,black,59,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/xenium-e111-black-min.jpg,https://www.w-t.az/mehsul/60ed8be551e6c1659d6df91c/philips-xenium-e111,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E172,,Philips Xenium E172,Philips Xenium E172 ,,,89,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Xenium-E172-black-min.jpg,https://www.w-t.az/mehsul/60ed8d9f51e6c1659d6df92f/philips-xenium-e172,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E185,,Philips Xenium E185,Philips Xenium E185 ,,,129,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Xenium-E185-black-min.jpg,https://www.w-t.az/mehsul/60ed917651e6c1659d6df94f/philips-xenium-e185,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E207,Black,Philips Xenium E207,Philips Xenium E207 Black,,black,89,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Xenium-E207-black-min.jpg,https://www.w-t.az/mehsul/60ed92a751e6c1659d6df962/philips-xenium-e207-black,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E207,Blue,Philips Xenium E207,Philips Xenium E207 Blue,,navy,89,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Xenium-E207-blue-min.jpg,https://www.w-t.az/mehsul/60ed92a751e6c1659d6df962/philips-xenium-e207-blue,Telefon və planşetlər,Mobil telefonlar
Philips,Xenium E218,Gray,Philips Xenium E218,Philips Xenium E218 Gray,,black,109,,https://w-t.ams3.cdn.digitaloceanspaces.com/images/Xenium-E218-black-min.jpg,https://www.w-t.az/mehsul/60ed95e451e6c1659d6df987/philips-xenium-e218-gray,Telefon və planşetlər,Mobil telefonlar
